schemaname,tablename,indexname,indexdef
auth,mfa_factors,mfa_factors_user_friendly_name_unique,"CREATE UNIQUE INDEX mfa_factors_user_friendly_name_unique ON auth.mfa_factors USING btree (friendly_name, user_id) WHERE (TRIM(BOTH FROM friendly_name) <> ''::text)"
auth,mfa_factors,mfa_factors_user_id_idx,CREATE INDEX mfa_factors_user_id_idx ON auth.mfa_factors USING btree (user_id)
auth,mfa_factors,unique_phone_factor_per_user,"CREATE UNIQUE INDEX unique_phone_factor_per_user ON auth.mfa_factors USING btree (user_id, phone)"
auth,oauth_authorizations,oauth_auth_pending_exp_idx,CREATE INDEX oauth_auth_pending_exp_idx ON auth.oauth_authorizations USING btree (expires_at) WHERE (status = 'pending'::auth.oauth_authorization_status)
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,CREATE UNIQUE INDEX oauth_authorizations_authorization_code_key ON auth.oauth_authorizations USING btree (authorization_code)
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,CREATE UNIQUE INDEX oauth_authorizations_authorization_id_key ON auth.oauth_authorizations USING btree (authorization_id)
auth,oauth_authorizations,oauth_authorizations_pkey,CREATE UNIQUE INDEX oauth_authorizations_pkey ON auth.oauth_authorizations USING btree (id)
auth,oauth_client_states,idx_oauth_client_states_created_at,CREATE INDEX idx_oauth_client_states_created_at ON auth.oauth_client_states USING btree (created_at)
auth,oauth_client_states,oauth_client_states_pkey,CREATE UNIQUE INDEX oauth_client_states_pkey ON auth.oauth_client_states USING btree (id)
auth,oauth_clients,oauth_clients_deleted_at_idx,CREATE INDEX oauth_clients_deleted_at_idx ON auth.oauth_clients USING btree (deleted_at)
auth,oauth_clients,oauth_clients_pkey,CREATE UNIQUE INDEX oauth_clients_pkey ON auth.oauth_clients USING btree (id)
auth,oauth_consents,oauth_consents_active_client_idx,CREATE INDEX oauth_consents_active_client_idx ON auth.oauth_consents USING btree (client_id) WHERE (revoked_at IS NULL)
auth,oauth_consents,oauth_consents_active_user_client_idx,"CREATE INDEX oauth_consents_active_user_client_idx ON auth.oauth_consents USING btree (user_id, client_id) WHERE (revoked_at IS NULL)"
auth,oauth_consents,oauth_consents_pkey,CREATE UNIQUE INDEX oauth_consents_pkey ON auth.oauth_consents USING btree (id)
auth,oauth_consents,oauth_consents_user_client_unique,"CREATE UNIQUE INDEX oauth_consents_user_client_unique ON auth.oauth_consents USING btree (user_id, client_id)"
auth,oauth_consents,oauth_consents_user_order_idx,"CREATE INDEX oauth_consents_user_order_idx ON auth.oauth_consents USING btree (user_id, granted_at DESC)"
auth,one_time_tokens,one_time_tokens_pkey,CREATE UNIQUE INDEX one_time_tokens_pkey ON auth.one_time_tokens USING btree (id)
auth,one_time_tokens,one_time_tokens_relates_to_hash_idx,CREATE INDEX one_time_tokens_relates_to_hash_idx ON auth.one_time_tokens USING hash (relates_to)
auth,one_time_tokens,one_time_tokens_token_hash_hash_idx,CREATE INDEX one_time_tokens_token_hash_hash_idx ON auth.one_time_tokens USING hash (token_hash)
auth,one_time_tokens,one_time_tokens_user_id_token_type_key,"CREATE UNIQUE INDEX one_time_tokens_user_id_token_type_key ON auth.one_time_tokens USING btree (user_id, token_type)"
auth,refresh_tokens,refresh_tokens_instance_id_idx,CREATE INDEX refresh_tokens_instance_id_idx ON auth.refresh_tokens USING btree (instance_id)
auth,refresh_tokens,refresh_tokens_instance_id_user_id_idx,"CREATE INDEX refresh_tokens_instance_id_user_id_idx ON auth.refresh_tokens USING btree (instance_id, user_id)"
auth,refresh_tokens,refresh_tokens_parent_idx,CREATE INDEX refresh_tokens_parent_idx ON auth.refresh_tokens USING btree (parent)
auth,refresh_tokens,refresh_tokens_pkey,CREATE UNIQUE INDEX refresh_tokens_pkey ON auth.refresh_tokens USING btree (id)
auth,refresh_tokens,refresh_tokens_session_id_revoked_idx,"CREATE INDEX refresh_tokens_session_id_revoked_idx ON auth.refresh_tokens USING btree (session_id, revoked)"
auth,refresh_tokens,refresh_tokens_token_unique,CREATE UNIQUE INDEX refresh_tokens_token_unique ON auth.refresh_tokens USING btree (token)
auth,refresh_tokens,refresh_tokens_updated_at_idx,CREATE INDEX refresh_tokens_updated_at_idx ON auth.refresh_tokens USING btree (updated_at DESC)
auth,saml_providers,saml_providers_entity_id_key,CREATE UNIQUE INDEX saml_providers_entity_id_key ON auth.saml_providers USING btree (entity_id)
auth,saml_providers,saml_providers_pkey,CREATE UNIQUE INDEX saml_providers_pkey ON auth.saml_providers USING btree (id)
auth,saml_providers,saml_providers_sso_provider_id_idx,CREATE INDEX saml_providers_sso_provider_id_idx ON auth.saml_providers USING btree (sso_provider_id)
auth,saml_relay_states,saml_relay_states_created_at_idx,CREATE INDEX saml_relay_states_created_at_idx ON auth.saml_relay_states USING btree (created_at DESC)
auth,saml_relay_states,saml_relay_states_for_email_idx,CREATE INDEX saml_relay_states_for_email_idx ON auth.saml_relay_states USING btree (for_email)
auth,saml_relay_states,saml_relay_states_pkey,CREATE UNIQUE INDEX saml_relay_states_pkey ON auth.saml_relay_states USING btree (id)
auth,saml_relay_states,saml_relay_states_sso_provider_id_idx,CREATE INDEX saml_relay_states_sso_provider_id_idx ON auth.saml_relay_states USING btree (sso_provider_id)
auth,schema_migrations,schema_migrations_pkey,CREATE UNIQUE INDEX schema_migrations_pkey ON auth.schema_migrations USING btree (version)
auth,sessions,sessions_not_after_idx,CREATE INDEX sessions_not_after_idx ON auth.sessions USING btree (not_after DESC)
auth,sessions,sessions_oauth_client_id_idx,CREATE INDEX sessions_oauth_client_id_idx ON auth.sessions USING btree (oauth_client_id)
auth,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON auth.sessions USING btree (id)
auth,sessions,sessions_user_id_idx,CREATE INDEX sessions_user_id_idx ON auth.sessions USING btree (user_id)
auth,sessions,user_id_created_at_idx,"CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)"
auth,sso_domains,sso_domains_domain_idx,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain))
auth,sso_domains,sso_domains_pkey,CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id)
auth,sso_domains,sso_domains_sso_provider_id_idx,CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id)
auth,sso_providers,sso_providers_pkey,CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id)
auth,sso_providers,sso_providers_resource_id_idx,CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id))
auth,sso_providers,sso_providers_resource_id_pattern_idx,CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops)
auth,users,confirmation_token_idx,CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_current_idx,CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_new_idx,CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text)
auth,users,reauthentication_token_idx,CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text)
auth,users,recovery_token_idx,CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text)
auth,users,users_email_partial_key,CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false)
auth,users,users_instance_id_email_idx,"CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))"
auth,users,users_instance_id_idx,CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id)
auth,users,users_is_anonymous_idx,CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous)
auth,users,users_phone_key,CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone)
auth,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id)
auth,webauthn_challenges,webauthn_challenges_expires_at_idx,CREATE INDEX webauthn_challenges_expires_at_idx ON auth.webauthn_challenges USING btree (expires_at)
auth,webauthn_challenges,webauthn_challenges_pkey,CREATE UNIQUE INDEX webauthn_challenges_pkey ON auth.webauthn_challenges USING btree (id)
auth,webauthn_challenges,webauthn_challenges_user_id_idx,CREATE INDEX webauthn_challenges_user_id_idx ON auth.webauthn_challenges USING btree (user_id)
auth,webauthn_credentials,webauthn_credentials_credential_id_key,CREATE UNIQUE INDEX webauthn_credentials_credential_id_key ON auth.webauthn_credentials USING btree (credential_id)
auth,webauthn_credentials,webauthn_credentials_pkey,CREATE UNIQUE INDEX webauthn_credentials_pkey ON auth.webauthn_credentials USING btree (id)
auth,webauthn_credentials,webauthn_credentials_user_id_idx,CREATE INDEX webauthn_credentials_user_id_idx ON auth.webauthn_credentials USING btree (user_id)
public,admin_push_subscriptions,admin_push_subscriptions_endpoint_key,CREATE UNIQUE INDEX admin_push_subscriptions_endpoint_key ON public.admin_push_subscriptions USING btree (endpoint)
public,admin_push_subscriptions,admin_push_subscriptions_pkey,CREATE UNIQUE INDEX admin_push_subscriptions_pkey ON public.admin_push_subscriptions USING btree (id)
public,app_settings,app_settings_pkey,CREATE UNIQUE INDEX app_settings_pkey ON public.app_settings USING btree (id)
public,circuit_points_rules,circuit_points_rules_circuit_id_idx,CREATE INDEX circuit_points_rules_circuit_id_idx ON public.circuit_points_rules USING btree (circuit_id)
public,circuit_points_rules,circuit_points_rules_pkey,CREATE UNIQUE INDEX circuit_points_rules_pkey ON public.circuit_points_rules USING btree (id)
public,circuit_points_rules,circuit_points_rules_unique_placement_idx,"CREATE UNIQUE INDEX circuit_points_rules_unique_placement_idx ON public.circuit_points_rules USING btree (circuit_id, min_admissions, max_admissions, placement) WHERE (rule_type = 'placement'::text)"
public,circuit_points_rules,circuit_points_rules_unique_stage_idx,"CREATE UNIQUE INDEX circuit_points_rules_unique_stage_idx ON public.circuit_points_rules USING btree (circuit_id, min_admissions, max_admissions, stage) WHERE (rule_type = 'stage'::text)"
public,circuit_ranking_groups,circuit_ranking_groups_circuit_id_category_level_key,"CREATE UNIQUE INDEX circuit_ranking_groups_circuit_id_category_level_key ON public.circuit_ranking_groups USING btree (circuit_id, category, level)"
public,circuit_ranking_groups,circuit_ranking_groups_circuit_id_idx,CREATE INDEX circuit_ranking_groups_circuit_id_idx ON public.circuit_ranking_groups USING btree (circuit_id)
public,circuit_ranking_groups,circuit_ranking_groups_pkey,CREATE UNIQUE INDEX circuit_ranking_groups_pkey ON public.circuit_ranking_groups USING btree (id)
public,circuit_results,circuit_results_circuit_id_idx,CREATE INDEX circuit_results_circuit_id_idx ON public.circuit_results USING btree (circuit_id)
public,circuit_results,circuit_results_pkey,CREATE UNIQUE INDEX circuit_results_pkey ON public.circuit_results USING btree (id)
public,circuit_results,circuit_results_player_key_idx,CREATE INDEX circuit_results_player_key_idx ON public.circuit_results USING btree (player_key)
public,circuit_results,circuit_results_ranking_group_id_idx,CREATE INDEX circuit_results_ranking_group_id_idx ON public.circuit_results USING btree (ranking_group_id)
public,circuit_results,circuit_results_ranking_group_id_source_tournament_id_playe_key,"CREATE UNIQUE INDEX circuit_results_ranking_group_id_source_tournament_id_playe_key ON public.circuit_results USING btree (ranking_group_id, source_tournament_id, player_key)"
public,circuits,circuits_pkey,CREATE UNIQUE INDEX circuits_pkey ON public.circuits USING btree (id)
public,circuits,circuits_slug_key,CREATE UNIQUE INDEX circuits_slug_key ON public.circuits USING btree (slug)
public,circuits,circuits_status_idx,CREATE INDEX circuits_status_idx ON public.circuits USING btree (status)
public,communication_user_states,communication_user_states_comm_idx,CREATE INDEX communication_user_states_comm_idx ON public.communication_user_states USING btree (communication_id)
public,communication_user_states,communication_user_states_pkey,CREATE UNIQUE INDEX communication_user_states_pkey ON public.communication_user_states USING btree (id)
public,communication_user_states,communication_user_states_user_id_communication_id_key,"CREATE UNIQUE INDEX communication_user_states_user_id_communication_id_key ON public.communication_user_states USING btree (user_id, communication_id)"
public,communication_user_states,communication_user_states_user_idx,CREATE INDEX communication_user_states_user_idx ON public.communication_user_states USING btree (user_id)
public,communications,communications_active_dates_idx,"CREATE INDEX communications_active_dates_idx ON public.communications USING btree (is_active, starts_at, ends_at)"
public,communications,communications_pkey,CREATE UNIQUE INDEX communications_pkey ON public.communications USING btree (id)
public,communications,communications_target_idx,CREATE INDEX communications_target_idx ON public.communications USING btree (target)
public,communications,communications_tournament_id_idx,CREATE INDEX communications_tournament_id_idx ON public.communications USING btree (tournament_id)
public,loyalty_global_promos,loyalty_global_promos_active_idx,"CREATE INDEX loyalty_global_promos_active_idx ON public.loyalty_global_promos USING btree (is_active, starts_at, ends_at)"
public,loyalty_global_promos,loyalty_global_promos_pkey,CREATE UNIQUE INDEX loyalty_global_promos_pkey ON public.loyalty_global_promos USING btree (id)
public,loyalty_memberships,loyalty_memberships_membership_code_key,CREATE UNIQUE INDEX loyalty_memberships_membership_code_key ON public.loyalty_memberships USING btree (membership_code)
public,loyalty_memberships,loyalty_memberships_pkey,CREATE UNIQUE INDEX loyalty_memberships_pkey ON public.loyalty_memberships USING btree (id)
public,loyalty_transactions,loyalty_transactions_pkey,CREATE UNIQUE INDEX loyalty_transactions_pkey ON public.loyalty_transactions USING btree (id)
public,loyalty_user_promos,loyalty_user_promos_active_idx,"CREATE INDEX loyalty_user_promos_active_idx ON public.loyalty_user_promos USING btree (is_active, starts_at, ends_at)"
public,loyalty_user_promos,loyalty_user_promos_membership_id_idx,CREATE INDEX loyalty_user_promos_membership_id_idx ON public.loyalty_user_promos USING btree (membership_id)
public,loyalty_user_promos,loyalty_user_promos_pkey,CREATE UNIQUE INDEX loyalty_user_promos_pkey ON public.loyalty_user_promos USING btree (id)
public,medical_certificates,medical_certificates_pkey,CREATE UNIQUE INDEX medical_certificates_pkey ON public.medical_certificates USING btree (id)
public,reward_categories,reward_categories_name_key,CREATE UNIQUE INDEX reward_categories_name_key ON public.reward_categories USING btree (name)
public,reward_categories,reward_categories_pkey,CREATE UNIQUE INDEX reward_categories_pkey ON public.reward_categories USING btree (id)
public,reward_point_ranges,reward_point_ranges_pkey,CREATE UNIQUE INDEX reward_point_ranges_pkey ON public.reward_point_ranges USING btree (id)
public,reward_redemptions,reward_redemptions_pkey,CREATE UNIQUE INDEX reward_redemptions_pkey ON public.reward_redemptions USING btree (id)
public,reward_redemptions,reward_redemptions_qr_token_unique,CREATE UNIQUE INDEX reward_redemptions_qr_token_unique ON public.reward_redemptions USING btree (qr_token) WHERE (qr_token IS NOT NULL)
public,reward_redemptions,reward_redemptions_status_idx,CREATE INDEX reward_redemptions_status_idx ON public.reward_redemptions USING btree (status)
public,rewards_catalog,rewards_catalog_pkey,CREATE UNIQUE INDEX rewards_catalog_pkey ON public.rewards_catalog USING btree (id)
public,rewards_catalog,rewards_catalog_store_product_idx,CREATE INDEX rewards_catalog_store_product_idx ON public.rewards_catalog USING btree (store_product_id)
public,staff_users,staff_users_email_key,CREATE UNIQUE INDEX staff_users_email_key ON public.staff_users USING btree (email)
public,staff_users,staff_users_pkey,CREATE UNIQUE INDEX staff_users_pkey ON public.staff_users USING btree (id)
public,store_categories,store_categories_name_key,CREATE UNIQUE INDEX store_categories_name_key ON public.store_categories USING btree (name)
public,store_categories,store_categories_pkey,CREATE UNIQUE INDEX store_categories_pkey ON public.store_categories USING btree (id)
public,store_categories,store_categories_slug_key,CREATE UNIQUE INDEX store_categories_slug_key ON public.store_categories USING btree (slug)
public,store_lines,store_lines_name_key,CREATE UNIQUE INDEX store_lines_name_key ON public.store_lines USING btree (name)
public,store_lines,store_lines_pkey,CREATE UNIQUE INDEX store_lines_pkey ON public.store_lines USING btree (id)
public,store_lines,store_lines_slug_key,CREATE UNIQUE INDEX store_lines_slug_key ON public.store_lines USING btree (slug)
public,store_order_economics,store_order_economics_order_id_key,CREATE UNIQUE INDEX store_order_economics_order_id_key ON public.store_order_economics USING btree (order_id)
public,store_order_economics,store_order_economics_pkey,CREATE UNIQUE INDEX store_order_economics_pkey ON public.store_order_economics USING btree (id)
public,store_order_items,store_order_items_order_idx,CREATE INDEX store_order_items_order_idx ON public.store_order_items USING btree (order_id)
public,store_order_items,store_order_items_pkey,CREATE UNIQUE INDEX store_order_items_pkey ON public.store_order_items USING btree (id)
public,store_orders,store_orders_created_at_idx,CREATE INDEX store_orders_created_at_idx ON public.store_orders USING btree (created_at DESC)
public,store_orders,store_orders_order_type_idx,CREATE INDEX store_orders_order_type_idx ON public.store_orders USING btree (order_type)
public,store_orders,store_orders_pkey,CREATE UNIQUE INDEX store_orders_pkey ON public.store_orders USING btree (id)
public,store_orders,store_orders_related_redemption_idx,CREATE INDEX store_orders_related_redemption_idx ON public.store_orders USING btree (related_redemption_id)
public,store_orders,store_orders_status_idx,CREATE INDEX store_orders_status_idx ON public.store_orders USING btree (status)
public,store_orders,store_orders_supplier_paid_idx,"CREATE INDEX store_orders_supplier_paid_idx ON public.store_orders USING btree (supplier_paid, supplier_paid_at)"
public,store_orders,store_orders_user_idx,CREATE INDEX store_orders_user_idx ON public.store_orders USING btree (user_id)
public,store_product_colors,store_product_colors_pkey,CREATE UNIQUE INDEX store_product_colors_pkey ON public.store_product_colors USING btree (id)
public,store_product_colors,store_product_colors_product_idx,CREATE INDEX store_product_colors_product_idx ON public.store_product_colors USING btree (product_id)
public,store_product_costs,store_product_costs_pkey,CREATE UNIQUE INDEX store_product_costs_pkey ON public.store_product_costs USING btree (id)
public,store_product_costs,store_product_costs_product_id_key,CREATE UNIQUE INDEX store_product_costs_product_id_key ON public.store_product_costs USING btree (product_id)
public,store_product_sizes,store_product_sizes_pkey,CREATE UNIQUE INDEX store_product_sizes_pkey ON public.store_product_sizes USING btree (id)
public,store_product_sizes,store_product_sizes_product_id_size_label_key,"CREATE UNIQUE INDEX store_product_sizes_product_id_size_label_key ON public.store_product_sizes USING btree (product_id, size_label)"
public,store_product_sizes,store_product_sizes_product_idx,CREATE INDEX store_product_sizes_product_idx ON public.store_product_sizes USING btree (product_id)
public,store_product_stock,store_product_stock_pkey,CREATE UNIQUE INDEX store_product_stock_pkey ON public.store_product_stock USING btree (id)
public,store_product_stock,store_product_stock_product_id_color_id_size_id_key,"CREATE UNIQUE INDEX store_product_stock_product_id_color_id_size_id_key ON public.store_product_stock USING btree (product_id, color_id, size_id)"
public,store_product_stock,store_product_stock_product_idx,CREATE INDEX store_product_stock_product_idx ON public.store_product_stock USING btree (product_id)
public,store_products,store_products_active_idx,CREATE INDEX store_products_active_idx ON public.store_products USING btree (is_active)
public,store_products,store_products_category_idx,CREATE INDEX store_products_category_idx ON public.store_products USING btree (category_id)
public,store_products,store_products_category_sort_idx,"CREATE INDEX store_products_category_sort_idx ON public.store_products USING btree (category_id, sort_order, created_at)"
public,store_products,store_products_line_idx,CREATE INDEX store_products_line_idx ON public.store_products USING btree (line_id)
public,store_products,store_products_pkey,CREATE UNIQUE INDEX store_products_pkey ON public.store_products USING btree (id)
public,store_promos,store_promos_active_dates_idx,"CREATE INDEX store_promos_active_dates_idx ON public.store_promos USING btree (is_active, starts_at, ends_at)"
public,store_promos,store_promos_pkey,CREATE UNIQUE INDEX store_promos_pkey ON public.store_promos USING btree (id)
public,store_special_orders,store_special_orders_pkey,CREATE UNIQUE INDEX store_special_orders_pkey ON public.store_special_orders USING btree (id)
public,store_supplier_batch_orders,store_supplier_batch_orders_batch_id_order_id_key,"CREATE UNIQUE INDEX store_supplier_batch_orders_batch_id_order_id_key ON public.store_supplier_batch_orders USING btree (batch_id, order_id)"
public,store_supplier_batch_orders,store_supplier_batch_orders_batch_idx,CREATE INDEX store_supplier_batch_orders_batch_idx ON public.store_supplier_batch_orders USING btree (batch_id)
public,store_supplier_batch_orders,store_supplier_batch_orders_order_idx,CREATE INDEX store_supplier_batch_orders_order_idx ON public.store_supplier_batch_orders USING btree (order_id)
public,store_supplier_batch_orders,store_supplier_batch_orders_pkey,CREATE UNIQUE INDEX store_supplier_batch_orders_pkey ON public.store_supplier_batch_orders USING btree (id)
public,store_supplier_batches,store_supplier_batches_batch_number_key,CREATE UNIQUE INDEX store_supplier_batches_batch_number_key ON public.store_supplier_batches USING btree (batch_number)
public,store_supplier_batches,store_supplier_batches_pkey,CREATE UNIQUE INDEX store_supplier_batches_pkey ON public.store_supplier_batches USING btree (id)
public,tournament_registrations,tournament_registrations_pkey,CREATE UNIQUE INDEX tournament_registrations_pkey ON public.tournament_registrations USING btree (id)
public,tournament_registrations,tr_tournament_idx,CREATE INDEX tr_tournament_idx ON public.tournament_registrations USING btree (tournament_id)
public,tournament_registrations,tr_tournament_reserve_idx,"CREATE INDEX tr_tournament_reserve_idx ON public.tournament_registrations USING btree (tournament_id, is_reserve, ""position"")"
public,tournament_registrations,tr_user_idx,CREATE INDEX tr_user_idx ON public.tournament_registrations USING btree (user_id)
public,tournament_run_bracket_slots,idx_trbs_run_id,CREATE INDEX idx_trbs_run_id ON public.tournament_run_bracket_slots USING btree (run_id)
public,tournament_run_bracket_slots,tournament_run_bracket_slots_pkey,CREATE UNIQUE INDEX tournament_run_bracket_slots_pkey ON public.tournament_run_bracket_slots USING btree (id)
public,tournament_run_bracket_slots,tournament_run_bracket_slots_run_id_position_key,"CREATE UNIQUE INDEX tournament_run_bracket_slots_run_id_position_key ON public.tournament_run_bracket_slots USING btree (run_id, ""position"")"
public,tournament_run_group_pairs,idx_trgp_group_id,CREATE INDEX idx_trgp_group_id ON public.tournament_run_group_pairs USING btree (group_id)
public,tournament_run_group_pairs,idx_trgp_pair_id,CREATE INDEX idx_trgp_pair_id ON public.tournament_run_group_pairs USING btree (pair_id)
public,tournament_run_group_pairs,tournament_run_group_pairs_group_id_pair_id_key,"CREATE UNIQUE INDEX tournament_run_group_pairs_group_id_pair_id_key ON public.tournament_run_group_pairs USING btree (group_id, pair_id)"
public,tournament_run_group_pairs,tournament_run_group_pairs_pkey,CREATE UNIQUE INDEX tournament_run_group_pairs_pkey ON public.tournament_run_group_pairs USING btree (id)
public,tournament_run_groups,idx_trg_run_id,CREATE INDEX idx_trg_run_id ON public.tournament_run_groups USING btree (run_id)
public,tournament_run_groups,tournament_run_groups_pkey,CREATE UNIQUE INDEX tournament_run_groups_pkey ON public.tournament_run_groups USING btree (id)
public,tournament_run_groups,tournament_run_groups_run_id_name_key,"CREATE UNIQUE INDEX tournament_run_groups_run_id_name_key ON public.tournament_run_groups USING btree (run_id, name)"
public,tournament_run_groups,tournament_run_groups_run_id_position_key,"CREATE UNIQUE INDEX tournament_run_groups_run_id_position_key ON public.tournament_run_groups USING btree (run_id, ""position"")"
public,tournament_run_matches,tournament_run_matches_pkey,CREATE UNIQUE INDEX tournament_run_matches_pkey ON public.tournament_run_matches USING btree (id)
public,tournament_run_matches,tournament_run_matches_turn_id_idx,CREATE INDEX tournament_run_matches_turn_id_idx ON public.tournament_run_matches USING btree (turn_id)
public,tournament_run_matches,tournament_run_matches_turn_id_match_number_key,"CREATE UNIQUE INDEX tournament_run_matches_turn_id_match_number_key ON public.tournament_run_matches USING btree (turn_id, match_number)"
public,tournament_run_matches_fp,idx_trmfp_completed,CREATE INDEX idx_trmfp_completed ON public.tournament_run_matches_fp USING btree (completed_at)
public,tournament_run_matches_fp,idx_trmfp_group_id,CREATE INDEX idx_trmfp_group_id ON public.tournament_run_matches_fp USING btree (group_id)
public,tournament_run_matches_fp,idx_trmfp_run_id,CREATE INDEX idx_trmfp_run_id ON public.tournament_run_matches_fp USING btree (run_id)
public,tournament_run_matches_fp,idx_trmfp_stage,CREATE INDEX idx_trmfp_stage ON public.tournament_run_matches_fp USING btree (stage)
public,tournament_run_matches_fp,idx_trmfp_starts_at,CREATE INDEX idx_trmfp_starts_at ON public.tournament_run_matches_fp USING btree (starts_at)
public,tournament_run_matches_fp,tournament_run_matches_fp_pkey,CREATE UNIQUE INDEX tournament_run_matches_fp_pkey ON public.tournament_run_matches_fp USING btree (id)
public,tournament_run_pairs,idx_trp_run_id,CREATE INDEX idx_trp_run_id ON public.tournament_run_pairs USING btree (run_id)
